State,WTA,CDM-R,CDM-D
AK,R,3,0
AL,R,8,1
AR,R,6,0
AZ,D,4,7
CA,D,7,48
CO,D,3,6
CT,D,0,7
DC,D,0,3
DE,D,0,3
FL,R,17,12
GA,D,10,6
HI,D,0,4
IA,R,6,0
ID,R,4,0
IL,D,6,14
IN,R,9,2
KS,R,5,1
KY,R,7,1
LA,R,7,1
MA,D,0,11
MD,D,1,9
ME,D,2,2
MI,D,10,6
MN,D,5,5
MO,R,7,3
MS,R,5,1
MT,R,3,0
NC,R,10,5
ND,R,3,0
NE,R,4,1
NH,D,0,4
NJ,D,3,11
NM,D,1,4
NV,D,1,5
NY,D,7,22
OH,R,14,4
OK,R,7,0
OR,D,1,6
PA,D,10,10
RI,D,0,4
SC,R,8,1
SD,R,3,0
TN,R,9,2
TX,R,24,14
UT,R,6,0
VA,D,4,9
VT,D,0,3
WA,D,3,9
WI,D,8,2
WV,R,5,0
WY,R,3,0
