State,WTA,CDM-R,CDM-D
AK,R,3,0
AL,R,8,1
AR,R,6,0
AZ,R,7,4
CA,D,7,48
CO,D,3,6
CT,D,0,7
DC,D,0,3
DE,D,0,3
FL,R,16,13
GA,R,12,4
HI,D,0,4
IA,R,6,0
ID,R,4,0
IL,D,7,13
IN,R,9,2
KS,R,5,1
KY,R,7,1
LA,R,7,1
MA,D,0,11
MD,D,1,9
ME,R,2,2
MI,R,11,5
MN,R,7,3
MO,R,8,2
MS,R,5,1
MT,R,3,0
NC,R,10,5
ND,R,3,0
NE,R,5,0
NH,R,2,2
NJ,D,5,9
NM,D,1,4
NV,R,3,3
NY,D,9,20
OH,R,14,4
OK,R,7,0
OR,D,1,6
PA,R,12,8
RI,D,0,4
SC,R,8,1
SD,R,3,0
TN,R,9,2
TX,R,24,14
UT,R,6,0
VA,R,8,5
VT,D,0,3
WA,D,3,9
WI,R,8,2
WV,R,5,0
WY,R,3,0
